标题,发布时间,详情页链接,项目编号,项目名称,预算金额,采购需求,提交投标文件截止时间,项目联系人,电话,采购人名称,采购人地址,相关度评分,判断理由,地区,项目类型,预算规模,核心产品,潜在机会,跟进建议
河北省药品医疗器械检验研究院检验检测科研仪器购置项目公开招标公告,2026.04.16,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260416_26413787.htm,HBZJ-2026N0393,检验检测科研仪器购置项目,"¥1,100.00 万元",01包 药品检验检测相关仪器，预算金额：258.5万元；02包 有源医疗器械检验检测相关仪器，预算金额：197万元；03包 医疗机器人测量系统，预算金额：380万元；04包 无源医疗器械及体外诊断试剂检验检测相关仪器，预算金额：264.5万元。,2026年05月09日 09点00分（北京时间）,魏振平、郑德志,0311-86063928,河北省药品医疗器械检验研究院,石家庄市玉泉路219号,7,采购大量检验检测仪器，部分有源设备及系统可能涉及电气配套或能效管理。,河北省石家庄市,设备采购,大额(>500万),药品检验检测仪器、有源医疗器械检验仪器、医疗机器人测量系统、无源医疗器械及体外诊断试剂检验仪器,为高价值科研仪器提供配套的配电、不间断电源或能效管理解决方案。,联系项目联系人，了解仪器具体型号及配套电气需求，提供解决方案。
河北省药品医疗器械检验研究院中央提前下达检验检测科研仪器购置项目公开招标公告,2026.04.16,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260416_26413786.htm,HBZJ-2026N0394,中央提前下达检验检测科研仪器购置项目,¥426.00 万元,X射线粉末衍射仪等检验检测科研仪器一批。,2026年05月08日 09点00分（北京时间）,魏振平、郑德志,0311-86063928,河北省药品医疗器械检验研究院,石家庄市玉泉路219号,7,采购方为省级医疗器械检验机构，采购科研仪器，施耐德在实验室配电、精密仪器供电方面有机会。,河北省石家庄市,设备采购,中等(100-500万),X射线粉末衍射仪等检验检测科研仪器,实验室精密仪器配套的配电、不间断电源(UPS)、电能质量解决方案。,联系项目联系人，了解实验室配电需求，推荐相关电源保障产品。
西安医学院高性能医疗器械产教融合创新基地初步设计服务中标（成交）结果公告,2026.04.13,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202604/t20260413_26394461.htm,ZJZBSX-260305-0047,高性能医疗器械产教融合创新基地初步设计服务,,,,王佼、赵薇,029-87888601-8002,陕西中经招标有限公司,西安市未央区辛王路1号,7,高性能医疗器械产教融合创新基地建设，涉及实验室、生产线等基础设施，对配电、楼宇自控有潜在需求。,陕西省西安市,服务,未知,无,基地整体电气规划、实验室/生产车间配电、楼宇自动化系统。,联系采购代理或项目方，了解基地具体规划，提供整体电气解决方案咨询。
上海市医疗器械检验研究院功率放大器1国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388137.htm,0811-,功率放大器1,¥130.00 万元,（1）设备名称及数量：功率放大器1 壹套 （项目预算：人民币130万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,7,医疗器械检验机构采购高价值测试设备，施耐德在精密仪器供电、实验室配电领域有潜在机会。,上海市,设备采购,中等(100-500万),功率放大器,为高精度测试设备提供稳定、可靠的电源解决方案或实验室配电系统。,联系采购方，了解实验室整体配电需求，推荐相关电源保护与配电产品。
上海市医疗器械检验研究院综测仪国际公开招标采购公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391809.htm,0811-,综测仪,¥135.00 万元,（1）设备名称及数量： 综测仪 壹套 （项目预算：人民币135万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月07日 11:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区凌霄花路,6,医疗器械检验机构采购综测仪，属于专业检测设备，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),综测仪,无明确切入环节。,可尝试了解其实验室是否有配电或楼宇自动化需求，但非直接机会。
上海市医疗器械检验研究院超高效液相色谱串联质谱仪国际公开招标采购公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391806.htm,0811-,超高效液相色谱串联质谱仪,¥450.00 万元,（1）设备名称及数量： 超高效液相色谱串联质谱仪 壹套 （项目预算：人民币450万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月07日 11:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区凌霄花路300号,6,采购高端实验室分析仪器，与施耐德核心业务关联度较低，但实验室可能有配套电气需求。,上海市,设备采购,中等(100-500万),超高效液相色谱串联质谱仪,实验室整体配电、不间断电源(UPS)、精密空调或环境控制系统,联系采购方，了解实验室整体建设规划，推荐相关电气与能效解决方案。
上海市医疗器械检验研究院功率放大器2国际公开招标采购公告,2026.04.11,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260411_26391803.htm,0811-,功率放大器2,¥195.00 万元,（1）设备名称及数量： 功率放大器2 壹套 （项目预算：人民币195万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月07日 11:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,医疗器械检验机构采购功率放大器，属于专业测试设备，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),功率放大器,若设备需要稳定供电或环境控制，可提供相关电气解决方案。,评估客户是否有配套的配电或环境控制需求，针对性接触。
上海市医疗器械检验研究院EMI接收机国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26390038.htm,0811-264DSITC0464,EMI接收机,¥145.00 万元,（1）设备名称及数量： EMI接收机 壹套 （项目预算：人民币145万元，可以采购进口产品） （ 2） 技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限：合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购EMI接收机用于医疗器械检验，属于检验检测机构设备采购，与施耐德核心业务关联度中等。,上海市,设备采购,中等(100-500万),EMI接收机,为检验实验室提供相关的电源保护、环境控制或能效管理解决方案。,联系采购人，了解实验室整体电气需求，推荐相关配套产品。
2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目公开招标公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388355.htm,11000026210200167818-XM001,2026年北京市药品检验研究院药品、医疗器械、化妆品市级监督抽验其他维修和保养服务色谱、光谱类仪器维保项目,¥281.00 万元,标的名称 采购包预算金额 （万元） 数量 简要技术需求或服务要求 色谱光谱类仪器维护保养 281 1项服务 提供293台色谱光谱设备维修维护服务，保证仪器设备全年稳定、高效运行，系统整体全年可用性不低于99.9%。维修过程中所用的一切备品、备件更换费用均包含在本项目中。详见采购需求。 注：投标人必须针对本项目所有内容进行投标，不允许拆分投标。,2026-05-07 09:00（北京时间）,蔡培琳、胡鹏飞、李芊、华曲德吉央宗、何姗、王梦楠、王宏伟、黄凡,010-83923522,北京市药品检验研究院（北京市疫苗检验中心）,北京市昌平区科学园路25号,6,项目为药品检验机构的色谱光谱类仪器维保服务，与施耐德核心业务关联度较低。,北京市,服务,中等(100-500万),色谱、光谱类仪器,无明确直接机会。,可关注其实验室是否有配电、楼宇自控或能源管理需求。
上海市医疗器械检验研究院功率放大器1国际公开招标采购公告,2026.04.10,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202604/t20260410_26388137.htm,0811-,功率放大器1,¥130.00 万元,（1）设备名称及数量：功率放大器1 壹套 （项目预算：人民币130万元，可以采购进口产品） （2）技术要求：见本招标文件第八章“货物需求一览表及技术规格” 合同履约期限： 合同签订之日起至合同内容履行完毕止 本项目 不 接受联合体投标。,2026年05月06日 16:00,陈忆青、陈轩晴,0086-21-63230480转8616 / 8629,上海市医疗器械检验研究院,上海市浦东新区金银花路1号,6,采购方为医疗器械检验机构，采购功率放大器用于检测，与施耐德核心业务关联度较低。,上海市,设备采购,中等(100-500万),功率放大器,实验室或检测设备的配套电源、配电或能效管理方案,评估客户实验室整体电气需求，寻找配套或能效管理切入点。
